 or NDC	co2|h|orn-L|ptrc
IGPS	2cpr5p|3ig3p|co2|h|h2o
ILEDH2	3mop|h|h2o|ile-L|nad|nadh|nh4
ILETA	3mop|akg|glu-L|ile-L
ILETRS	amp|atp|ile-L|iletrna|ppi|trnaile
ILEt4	ile-L|na1
IMPC	fprica|h2o|imp
IMPD	h|h2o|imp|nad|nadh|xmp
INDOLEt2	h|indole
INSK	adp|atp|h|imp|ins
INSt2	h|ins
IPDPS	h|h2mb4p|h2o|ipdp|nad|nadh
IPMD	3c2hmp|3c4mop|h|nad|nadh
IPPMIa	2ippm|3c2hmp|h2o
IPPMIb	2ippm|3c3hmp|h2o
IPPS	3c3hmp|3mob|accoa|coa|h|h2o
IZPN	4izp|forglu|h2o
KARA2i	23dhmp|2ahbut|h|nadp|nadph
KAS15	accoa|actACP|co2|coa|h|malACP
KAS16	3htdACP|ACP|co2|ddcaACP|h|malACP|nadp|nadph
KDOPP	h2o|kdo|kdo8p|pi
KDOPS	ara5p|h2o|kdo8p|pep|pi
Kt2i	h|k
Kt3	h|k
L-LACD2	lac-L|pyr|ubq8|ubq8h2
L-LACD4	lac-L|mql7|mqn7|pyr
L-LACD5	lac-L|mmql7|mmqn7|pyr
L-LACt2	h|lac-L
LDH_D2	lac-D|pyr|ubq8|ubq8h2
LDH_D4	lac-D|mql7|mqn7|pyr
LDH_D5	lac-D|mmql7|mmqn7|pyr
LDH_Dir	h|lac-D|nad|nadh|pyr
LEUTA	4mop|akg|glu-L|leu-L
LEUTRS	amp|atp|leu-L|leutrna|ppi|trnaleu
LEUt4	leu-L|na1
LGTHL	gthrd|lgt-S|mthgxl
LLEUDr	4mop|h|h2o|leu-L|nad|nadh|nh4
LPADSS	h|lipidAds|lipidX|u23ga|udp
LPSSYN_SO	adp|adphep-D,D|atp|h|kdo8nlipa|lps_SO|uacgala|udp|udpgal|ump
LYSTRS	amp|atp|lys-L|lystrna|ppi|trnalys
LYSt3	h|lys-L
MACPD	acACP|co2|h|malACP
MALS	accoa|coa|glx|h|h2o|mal-L
MALTAT	accoa|acmalt|coa|malt
MALTK	adp|atp|coa|mal-L|malylcoa|pi
MALt2_2	h|mal-L
MALt2_3	h|mal-L
MCAL	accoa|glx|malylcoa
MCCC	3mb2coa|3mgcoa|adp|atp|h|hco3|pi
MCITD	2mcacn|2mcit|h2o
MCITS	2mcit|coa|h|h2o|oaa|ppcoa
