12PPDt	12ppd-S
GMPR	gmp|h|imp|nadp|nadph|nh4
GMPS2	amp|atp|gln-L|glu-L|gmp|h|h2o|ppi|xmp
GND	6pgc|co2|nadp|nadph|ru5p-D
GNK	6pgc|adp|atp|glcn
GOFUCR	gdpfuc|gdpofuc|h|nadp|nadph
GP4GH	gdp|gp4g|h2o
GPDDA1	chol|g3pc|glyc3p|h2o
GPDDA2	etha|g3pe|glyc3p|h2o
GPDDA3	g3ps|glyc3p|h2o|ser-L
GPDDA4	g3pg|glyc|glyc3p|h2o
GPDDA5	g3pi|glyc3p|h2o|inost
GRTT	frdp|grdp|ipdp|ppi
GSNK	adp|atp|gmp|gsn
GSNt2	gsn|h
GSPMDA	gthrd|gtspmd|h2o|spmd
GSPMDS	adp|atp|gthrd|gtspmd|h|pi|spmd
GTHOr	gthox|gthrd|h|nadp|nadph
GTHS	adp|atp|glucys|gly|gthrd|h|pi
GTPCI	ahdt|for|gtp|h|h2o
GTPCII2	25drapp|for|gtp|h|h2o|ppi
GUAD	gua|h|h2o|nh4|xan
GUAPRT	gmp|gua|ppi|prpp
GUAt	gua
GUAt2	gua|h
GUI1	fruur|glcur
GUI2	galur|tagur
H2Ot	h2o
HBZOPT	3ophb|4hbz|octdp|ppi
HCINNMt2r	3hcinnm|h
HCO3E	co2|h|h2o|hco3
HDCAt2	h|hdca
HEMEOS	frdp|h2o|hemeO|pheme|ppi
HETZK	4mhetz|4mpetz|adp|atp
HEX1	adp|atp|g6p|glc-D
HISTD	h|h2o|his-L|histd|nad|nadh
HISTP	h|h2o|hisp|histd|pi
HISabc	adp|atp|h|h2o|his-L|pi
HISt2r	h|his-L
HKNDDH	h|h2o|hkndd|op4en|succ
HKNTDH	fum|h|h2o|hkntd|op4en
HMBS	h2o|hmbil|nh4|ppbng
HMPK1	4ahmmp|4ampm|adp|atp
HOPNTAL	4h2opntn|acald|pyr
HPPK2	6hmhpt|6hmhptpp|amp|atp
HPPPNDO	dhpppn|h|hkndd|o2
HPPPNt2r	3hpppn|h
HPYRI	2h3oppan|hpyr
HPYRRx	glyc-R|h|hpyr|nad|nadh
HPYRRy	glyc-R|h|hpyr|nadp|nadph
