R01787	C00005|C00006|C00080|C00267|C00794
R01799	C00013|C00063|C00269|C00416
R01801	C00055|C00093|C00269|C03892
R01802	C00055|C00137|C00269|C01194
R01818	C00275|C00636
R01819	C00275|C05345
R01826	C00001|C00009|C00074|C00279|C04691
R01827	C00118|C00279|C05345|C05382
R01829	C00111|C00279|C00447
R01830	C00118|C00231|C00279|C05345
R01834	C00028|C00030|C00280|C00674
R01845	C00001|C00009|C00447|C05382
R01855	C00001|C00013|C00286|C00362
R01857	C00002|C00008|C00286|C00361
R01858	C00022|C00074|C00286|C00361
R01868	C00295|C00337|C15602|C15603
R01870	C00013|C00119|C00295|C01103
R01878	C00001|C00014|C00299|C00475
R01880	C00105|C00286|C00299|C00361
R01881	C00002|C00008|C00300|C02305
R01887	C00001|C00014|C00302|C05715
R01890	C00013|C00063|C00307|C00588
R01899	C00005|C00006|C00080|C00311|C05379
R01900	C00001|C00311|C00417
R01909	C00002|C00008|C00314|C00627
R01911	C00001|C00009|C00314|C00627
R01914	C00001|C00007|C00027|C00315|C00555|C00986
R01920	C00134|C00170|C00315|C01137
R01926	C00002|C00008|C00319|C06124
R01931	C00094|C00177|C00320|C01755
R01933	C00003|C00004|C00010|C00011|C00080|C00322|C00527
R01940	C00011|C00322|C06157|C15972
R01941	C00005|C00006|C00010|C00080|C00323|C10945
R01942	C00019|C00021|C00323|C00406
R01943	C00002|C00010|C00013|C00020|C00323|C01197
R01945	C00010|C00296|C00323|C00852
R01954	C00002|C00013|C00020|C00049|C00327|C03406
R01961	C00002|C00008|C00329|C00352
R01968	C00001|C00009|C00330|C00362
R01975	C00003|C00004|C00080|C00332|C01144
R01976	C00005|C00006|C00080|C00332|C01144
R01978	C00001|C00010|C00024|C00332|C00356
R01986	C00001|C00005|C00006|C00080|C00334|C00555
R01993	C00001|C00337|C00438
R02003	C00013|C00129|C00341|C00448
R02016	C00005|C00006|C00080|C00342|C00343
R02017	C00001|C00008|C00206|C00342|C00343
R02019	C00001|C00035|C00342|C00343|C00361
R02024	C00001|C00112|C00342|C00343|C00705
R02027	C00001|C00093|C00344|C00641
R02030	C00055|C00269|C00344|C05980
R02035	C00001|C00345|C01236
R02037	C00019|C00021|C00346|C01210
R02038	C00013|C00063|C00346|C00570
R02051	C00001|C00189|C00350|C00416
R02052	C00001|C00346|C00350|C00641
R02053	C00001|C00162|C00350|C04438
R02055	C00011|C00350|C02737
R02057	C00055|C00350|C00570|C00641
R02058	C00010|C00024|C00352|C00357
R02061	C00013|C00129|C00353|C00448
R02063	C00005|C00006|C00080|C00353|C05427
R02065	C00013|C00353|C03427
R02068	C00353|C06089
R02073	C00009|C00013|C05345|C05378
R02080	C00011|C00355|C03758
