12PPDt	12ppd-S
GLGC	adpglc|atp|g1p|h|ppi
GLNS	adp|atp|gln-L|glu-L|h|nh4|pi
GLNTRS	amp|atp|gln-L|glntrna|ppi|trnagln
GLNabc	adp|atp|gln-L|h|h2o|pi
GLTPD	galt1p|h|nad|nadh|tag6p-D
GLU-Dt2na	glu-D|na1
GLU5K	adp|atp|glu-L|glu5p
GLUCYSL	adp|atp|cys-L|glu-L|glucys|h|pi
GLUDy	akg|glu-L|h|h2o|nadp|nadph|nh4
GLUN	gln-L|glu-L|h2o|nh4
GLUPRT	gln-L|glu-L|h2o|ppi|pram|prpp
GLUR	glu-D|glu-L
GLUSy	akg|gln-L|glu-L|h|nadp|nadph
GLUTRR	glu1sa|glutrna|h|nadp|nadph|trnaglu
GLUTRS	amp|atp|glu-L|glutrna|ppi|trnaglu
GLUabc	adp|atp|glu-L|h|h2o|pi
GLUt2	glu-L|h
GLUt4i	glu-L|na1
GLXCBL	2h3opp|co2|glx|h
GLYATRi	2aobut|accoa|coa|gly
GLYBabc	adp|atp|glyb|h|h2o|pi
GLYBt6	glyb|h
GLYC3Pabc	adp|atp|glyc3p|h|h2o|pi
GLYC3Pt6	glyc3p|pi
GLYCDx	dha|glyc|h|nad|nadh
GLYCK	3pg|adp|atp|glyc-R|h
GLYCL	co2|gly|mlthf|nad|nadh|nh4|thf
GLYCLTDyr	glx|glyclt|h|nadp|nadph
GLYCLTt2r	glyclt|h
GLYCRt	glyc-R
GLYCt5	glyc
GLYK	adp|atp|glyc|glyc3p|h
GLYOX	gthrd|h|h2o|lac-D|lgt-S
GLYTRS	amp|atp|gly|glytrna|ppi|trnagly
GLYt2	gly|h
GMHEPAT	adphep-D,D|atp|gmh1p|h|ppi
GMHEPK	adp|atp|gmh17bp|gmh7p|h
GMHEPPA	gmh17bp|gmh1p|h2o|pi
GMPR	gmp|h|imp|nadp|nadph|nh4
GMPS2	amp|atp|gln-L|glu-L|gmp|h|h2o|ppi|xmp
GNK	6pgc|adp|atp|glcn-D|h
GOFUCR	gdpfuc|gdpofuc|h|nadp|nadph
GP4GH	gdp|gp4g|h|h2o
GPDDA2	etha|g3pe|glyc3p|h|h2o
GPDDA3	g3ps|glyc3p|h|h2o|ser-L
GPDDA4	g3pg|glyc|glyc3p|h|h2o
GRTT	frdp|grdp|ipdp|ppi
GSHPO	gthox|gthrd|h2o|h2o2
GSNK	adp|atp|gmp|gsn|h
GSNt2	gsn|h
GSPMDA	gthrd|gtspmd|h2o|spmd
GSPMDS	adp|atp|gthrd|gtspmd|h|pi|spmd
GTHO	gthox|gthrd|h|nadp|nadph
GTHRDabc	adp|atp|gthrd|h|h2o|pi
GTHS	adp|atp|glucys|gly|gthrd|h|pi
GTPCI	ahdt|for|gtp|h|h2o
GTPCII	25dhpp|for|gtp|h|h2o|ppi
GTPDPK	amp|atp|gdptp|gtp|h
GUAPRT	gmp|gua|ppi|prpp
GUAt	gua
GUAt2	gua|h
GUAti	gua
GUI1	fruur|glcur
H2Ot5	h2o
H2St	h2s
HBZOPT	3ophb|4hbz|octdp|ppi
HCO3E	co2|h|h2o|hco3
HDCAt2	h|hdca
HEMEOS	frdp|h|h2o|hemeO|pheme|ppi
HETZK	4mhetz|4mpetz|adp|atp|h
HEX1	adp|atp|g6p|glc-D|h
HHDDI	2hh24dd|2oh3d
HIBD	2mop|3hmp|h|nad|nadh
HISD1i	his-L|nh4|urcan
HISTD	h|h2o|his-L|histd|nad|nadh
HISTP	h2o|hisp|histd|pi
HISTRS	amp|atp|his-L|histrna|ppi|trnahis
HISabc	adp|atp|h|h2o|his-L|pi
HISt2	h|his-L
HMBS	h2o|hmbil|nh4|ppbng
HMPK1	4ahmmp|4ampm|adp|atp|h
HOMt	h|hom-L
HOXPRx	2h3opp|glyc-R|h|nad|nadh
HPA3MO	34dhpha|4hphac|h|h2o|nad|nadh|o2
HPPK	2ahhmd|2ahhmp|amp|atp|h
HPYRI	2h3opp|hpyr
HPYRRy	glyc-R|h|hpyr|nadp|nadph
HSDy	aspsa|h|hom-L|nadp|nadph
HSK	adp|atp|h|hom-L|phom
HSST	coa|hom-L|succoa|suchms
HSTPT	akg|glu-L|h|hisp|imacp
HXPRT	hxan|imp|ppi|prpp
HYD1	h|h2|ubq8|ubq8h2
HYD2	h|h2|mql8|mqn8
HYD3	2dmmq8|2dmmql8|h|h2
HYXNt	hxan
ICDHy	akg|co2|icit|nadp|nadph
ICHORSi	chor|ichor
ICHORT	23ddhb|h2o|ichor|pyr
ICITt2	h|icit
ICL	glx|icit|succ
IDOND	5dglcn|h|idon-L|nad|nadh
IDOND2	5dglcn|h|idon-L|nadp|nadph
IDONt2	h|idon-L
IG3PS	aicar|eig3p|gln-L|glu-L|h|prlp
IGPDH	eig3p|h|h2o|imacp
IGPS	2cpr5p|3ig3p|co2|h|h2o
ILETA	3mop|akg|glu-L|ile-L
ILETRS	amp|atp|ile-L|iletrna|ppi|trnaile
ILEabc	adp|atp|h|h2o|ile-L|pi
ILEt4	ile-L|na1
IMPC	fprica|h2o|imp
IMPD	h|h2o|imp|nad|nadh|xmp
INDOLEt2	h|indole
INOSR	2ins|h|inost|nadp|nadph
INSK	adp|atp|h|imp|ins
INSTt2	h|inost
INSt2	h|ins
IPDDIi	dmpp|ipdp
IPDPS	h|h2mb4p|h2o|ipdp|nad|nadh
IPMD	3c2hmp|3c4mop|h|nad|nadh
IPPMIa	2ippm|3c2hmp|h2o
IPPMIb	2ippm|3c3hmp|h2o
IPPS	3c3hmp|3mob|accoa|coa|h|h2o
ITPASE2	h|h2o|imp|itp|ppi
IZPN	4izp|forglu|h2o
KARA2i	23dhmp|2ahbut|h|nadp|nadph
KAS15	accoa|actACP|co2|coa|h|malACP
KAS16	3htdACP|ACP|co2|ddcaACP|h|malACP|nadp|nadph
KDOPP	h2o|kdo|kdo8p|pi
KDOPS	ara5p|h2o|kdo8p|pep|pi
KDUI	dkdglcn|dt5hsu
KG6PDC	3dgulnp|co2|h|xu5p-L
Kabc	adp|atp|h|h2o|k|pi
Kt2i	h|k
Kt3	h|k
L-LACD2	lac-L|pyr|ubq8|ubq8h2
L-LACD3	lac-L|mql8|mqn8|pyr
L-LACt2	h|lac-L
LCAR	12ppd-S|h|lald-L|nad|nadh
LDH_D	h|lac-D|nad|nadh|pyr
LDH_D2	lac-D|pyr|ubq8|ubq8h2
LEUTAi	4mop|akg|glu-L|leu-L
LEUTRS	amp|atp|leu-L|leutrna|ppi|trnaleu
LEUabc	adp|atp|h|h2o|leu-L|pi
LEUt4	leu-L|na1
LGTHL	gthrd|lgt-S|mthgxl
LLXI	llx|xylu-L
LLXt2	h|llx
LPADSS	h|lipidAds|lipidX|u23ga|udp
LPLIPA1_ST2	agpg2_ST|g3pg|h|h2o|hdca|hdcea|ocdca|ocdcea|ocdcte|ocdcya|ttdca
LPLIPA2_ST2	agpe2_ST|g3pe|h|h2o|hdca|hdcea|ocdca|ocdcea|ocdcte|ocdcya|ttdca
LPSO5Se	h|lpsO5_ST|lpscore_ST|oa_ST|udcpdp
