+-BORNEOL-DEHYDROGENASE-RXN.c	CPD-1903|CPD-862|NAD|NADH|PROTON
2-CARBOXY-D-ARABINITOL-1-PHOSPHATASE-RXN.c	2-CARBOXY-D-ARABINITOL|2-CARBOXY-D-ARABINITOL-1-PHOSPHATASE|Pi|WATER
2-DEHYDROPANTOATE-REDUCT-RXN.c	2-DEHYDROPANTOATE|L-PANTOATE|NADP|NADPH|PROTON
2-HEXADECENAL-REDUCTASE-RXN.c	NADP|NADPH|PROTON
2-HYDROXYGLUTARATE-DEHYDROGENASE-RXN.c	2-KETOGLUTARATE|Acceptor|CPD-381|Donor-H2
2-ISOPROPYLMALATESYN-RXN.c	2-KETO-ISOVALERATE|3-CARBOXY-3-HYDROXY-ISOCAPROATE|ACETYL-COA|CO-A|PROTON|WATER
2-ISOPROPYLMALATESYN-RXN.d	2-KETO-ISOVALERATE|3-CARBOXY-3-HYDROXY-ISOCAPROATE|ACETYL-COA|CO-A|PROTON|WATER
2-KETO-ADIPATE-DEHYDROG-RXN.c	2K-ADIPATE|CARBON-DIOXIDE|CO-A|GLUTARYL-COA|NAD|NADH
2-METHYLACYL-COA-DEHYDROGENASE-RXN.c	2-METHYL-BUTYRYL-COA|CPD-1083|ETF-Oxidized|ETF-Reduced
2-NITROPROPANE-DIOXYGENASE-RXN.c	ACETALD|NITRITE|OXYGEN-MOLECULE
2-OCTAPRENYLPHENOL-HYDROX-RXN.c	NADP|NADPH|OXYGEN-MOLECULE|PROTON|WATER
2-OXOBUTYRATE-SYNTHASE-RXN.c	2-OXOBUTANOATE|CARBON-DIOXIDE|CO-A|Oxidized-ferredoxins|PROPIONYL-COA|PROTON|Reduced-ferredoxins
2-OXOGLUTARATE-SYNTHASE-RXN.c	2-KETOGLUTARATE|CARBON-DIOXIDE|CO-A|Oxidized-ferredoxins|PROTON|Reduced-ferredoxins|SUC-COA
2.1.1.100-RXN.c	ADENOSYL-HOMO-CYS|S-ADENOSYLMETHIONINE
2.1.1.103-RXN.c	ADENOSYL-HOMO-CYS|CPD-406|PHOSPHORYL-ETHANOLAMINE|PROTON|S-ADENOSYLMETHIONINE
2.1.1.114-RXN.c	ADENOSYL-HOMO-CYS|PROTON|S-ADENOSYLMETHIONINE
2.1.1.116-RXN.c	3-HYDROXY-N-METHYL-S-COCLAURINE|ADENOSYL-HOMO-CYS|PROTON|S-ADENOSYLMETHIONINE|S-RETICULINE
2.1.1.117-RXN.c	ADENOSYL-HOMO-CYS|PROTON|S-ADENOSYLMETHIONINE|S-SCOULERINE|S-TETRAHYDROCOLUMBAMINE
2.1.1.118-RXN.c	ADENOSYL-HOMO-CYS|COLUMBAMINE|PALMATINE|PROTON|S-ADENOSYLMETHIONINE
2.1.1.118-RXN.v	ADENOSYL-HOMO-CYS|COLUMBAMINE|PALMATINE|PROTON|S-ADENOSYLMETHIONINE
2.1.1.119-RXN.c	10-HYDROXYDIHYDROSANGUINARINE|ADENOSYL-HOMO-CYS|DIHYDROCHELIRUBINE|PROTON|S-ADENOSYLMETHIONINE
