ASPT	asp-L|fum|nh4
ASPTA	akg|asp-L|glu-L|oaa
ASPTRS	amp|asp-L|asptrna|atp|h|ppi|trnaasp
ASPabcpp	adp|asp-L|atp|h|h2o|pi
ASPt2_2pp	asp-L|h
ASPt2_3pp	asp-L|h
ASPt2pp	asp-L|h
ASPtex	asp-L
ASR	aso3|aso4|gthox|gthrd|h|h2o
AST	arg-L|coa|h|sucarg|succoa
ATHRDHr	2aobut|athr-L|h|nadp|nadph
ATPHs	atp|h|h2o|itp|nh4
ATPM	adp|atp|h|h2o|pi
ATPPRT	atp|h|ppi|prbatp|prpp
ATPS4rpp	adp|atp|h|h2o|pi
BALAt2pp	ala-B|h
BALAtex	ala-B
BETALDHx	betald|glyb|h|h2o|nad|nadh
BETALDHy	betald|glyb|h|h2o|nadp|nadph
BPNT	amp|h|h2o|pap|pi
BSORx	btn|btnso|h|h2o|nad|nadh
BSORy	btn|btnso|h|h2o|nadp|nadph
BTS4	amet|btn|dad-5|dtbt|h|met-L|s
BUTCT	ac|accoa|btcoa|but
BUTSO3abcpp	adp|atp|butso3|h|h2o|pi
BUTSO3tex	butso3
BUTt2rpp	but|h
BUTtex	but
Biomass	10fthf|2dmmql8|5mthf|Biomass|accoa|adocbl|adp|ala-L|amet|arg-L|asn-L|asp-L|atp|ca2|chor|cl|clpn160|clpn161|clpn181|coa|cobalt2|colipa|ctp|cu2|cys-L|datp|dctp|dgtp|dttp|enter|fad|fe2|fe3|gln-L|glu-L|gly|glycogen|gthrd|gtp|h|h2o|hemeO|his-L|ile-L|k|leu-L|lys-L|malcoa|met-L|mg2|mlthf|mn2|mobd|mql8|murein3p3p|murein3px4p|murein4p4p|murein4px4p|murein4px4px4p|nad|nadh|nadp|nadph|nh4|pe160|pe161|pe181|pg160|pg161|pg181|phe-L|pheme|pi|ppi|pro-L|ptrc|pydx5p|q8h2|ribflv|ser-L|sheme|so4|spmd|succoa|thf|thmpp|thr-L|trp-L|tyr-L|udcpdp|utp|val-L|zn2
Biomass2	10fthf|2ohph|Biomass|adp|ala-L|amet|arg-L|asn-L|asp-L|atp|ca2|cl|coa|cobalt2|ctp|cu2|cys-L|datp|dctp|dgtp|dttp|fad|fe2|fe3|gln-L|glu-L|gly|gtp|h|h2o|his-L|ile-L|k|kdo2lipid4|leu-L|lys-L|met-L|mg2|mlthf|mn2|mobd|murein5px4p|nad|nadp|nh4|pe160|pe161|phe-L|pheme|pi|ppi|pro-L|pydx5p|ribflv|ser-L|sheme|so4|thf|thmpp|thr-L|trp-L|tyr-L|udcpdp|utp|val-L|zn2
CA2t3pp	ca2|h
CA2tex	ca2
CADVtpp	15dap|h|lys-L
CAT	h2o|h2o2|o2
CAt6pp	ca2|na1
CBIAT	adocbi|atp|cbi|h|pppi
CBItonex	cbi|h
CBIuabcpp	adp|atp|cbi|h|h2o|pi
CBL1abcpp	adp|atp|cbl1|h|h2o|pi
CBL1tonex	cbl1|h
CBLAT	adocbl|atp|cbl1|h|pppi
CBMKr	adp|atp|cbp|co2|h|nh4
CBPS	adp|atp|cbp|gln-L|glu-L|h|h2o|hco3|pi
CD2abcpp	adp|atp|cd2|h|h2o|pi
CD2t3pp	cd2|h
CD2tex	cd2
CD2tpp	cd2
CDAPPA120	cdpdddecg|cmp|h2o|pa120
CDAPPA140	cdpdtdecg|cmp|h2o|pa140
CDAPPA141	cdpdtdec7eg|cmp|h2o|pa141
CDAPPA160	cdpdhdecg|cmp|h2o|pa160
