2PGK	23dpg|2pg|adp|atp|h
GLUPRT	gln-L|glu-L|h2o|ppi|pram|prpp
GLUS(F420)	akg|f420-2|f420-2h2|gln-L|glu-L
GLUTRR	glu1sa|glutrna|h|nadp|nadph|trnaglu
GLUTRS	amp|atp|glu-L|glutrna|ppi|trnaglu
GLUTRS(Gln)	amp|atp|glu-L|glutrna_gln|ppi|trnagln
GLUt2r	glu-L|h
GLYALDt	glyald
GLYBabc	adp|atp|glyb|h|h2o|pi
GLYCt	glyc
GLYTRS	amp|atp|gly|glytrna|ppi|trnagly
GLYt4r	gly|na1
GMAND	gdpddman|gdpmann|h2o
GMPS	amp|atp|gmp|h|nh4|ppi|xmp
GMPS2	amp|atp|gln-L|glu-L|gmp|h|h2o|ppi|xmp
GOFUCR	gdpfuc|gdpofuc|h|nadp|nadph
GRTT	frdp|grdp|ipdp|ppi
GRTT2	3hfrdp|3hgrdp|ipdp|ppi
GTHOr	gthox|gthrd|h|nadp|nadph
GTPCIII	for|gtp|h|h2o|ptp
GUAD	gua|h|h2o|nh4|xan
GUAPRT	gmp|gua|ppi|prpp
H2MPTR	f420-2|f420-2h2|h2mpt|h4mpt
H2Ot	h2o
H2St	h2s
H2td	h2
H4MPTGL(atp)	adp|atp|glu-L|h|h4mpt|h4spt|pi
H4MPTGL(gtp)	gdp|glu-L|gtp|h|h4mpt|h4spt|pi
H4MPTS10	dhadr|dhadrp|h2o|pi
H4MPTS11	dhadr|dhadrpr|ppi|prpp
H4MPTS12	adp|atp|dhadrdpr|dhadrpr
H4MPTS13	adp|atp|dhadrdpr|dhadrtpr
H4MPTS14	S2hglut|dhadrtpr|dmh2mpt|ppi
H4MPTS15	ahcys|amet|dmh2mpt|h|mmh2mpt
H4MPTS16	ahcys|amet|h|h2mpt|mmh2mpt
H4MPTS9	dhadrp|dhrfap|f420-2|f420-2h2
HASD	3hdpgpe|3hdpgps|co2|h
HATGH	3hdggpg|3hdpgpg|h|nadp|nadph
HATIH	3hdggpi|3hdpgpi|h|nadp|nadph
HATSH	3hdgggps|3hdpgps|h|nadp|nadph
HCITS	accoa|akg|coa|h|h2o|hcit
HCO3E	co2|h|h2o|hco3
HDR	cob|com|h|hsfd|mphen|mphenh2
HETZK	4mhetz|4mpetz|adp|atp|h
